Link_Candidato,Experiencia,Pontuacao_Final,acompanhar,adaptabilidade,angular,análise,aplicações,aprendizado,arquitetura,automatizados,autonomia,banco,capacidade,ciclo,colaborativa,complexos,comprometimento,comunicação,conflitos,conhecimento,constante,controle,cordialidade,criativas,css,código,dados,desenvolver,desenvolvimento,design,dinamismo,domínio,equipe,equipes,experiência,ferramentas,flexibilidade,foco,forma,frameworks,habilidade,html,inovadoras,javascript,js,liderar,linguagens,mentalidade,metodologias,negociação,node,nosql,noções,php,prazos,proatividade,problemas,programação,projetos,propor,qualidade,react,relacionais,resolução,resolver,respeito,responsabilidade,responsivas,resultados,sistemas,soluções,testes,trabalhar,usuário,versionamento,vida,web,ágeis,Porcentagem
https://scrap-example.onrender.com/scraping.html0,desenvolvedor back-end sênior,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
https://scrap-example.onrender.com/scraping.html1,desenvolvedor de jogos pleno,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
https://scrap-example.onrender.com/scraping.html2,desenvolvedor .net júnior,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
https://scrap-example.onrender.com/scraping.html3,analista de suporte técnico júnior,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
https://scrap-example.onrender.com/scraping.html4,especialista em ia nível júnior,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
https://scrap-example.onrender.com/scraping.html5,analista de banco de dados pleno,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63
https://scrap-example.onrender.com/scraping.html6,desenvolvedora react pleno,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.32
https://scrap-example.onrender.com/scraping.html7,especialista em virtualização sênior,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
https://scrap-example.onrender.com/scraping.html8,desenvolvedora de jogos pleno,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
https://scrap-example.onrender.com/scraping.html9,analista de segurança de ti sênior,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
